station,meas_wse
4772.357,349.025
4771.357,349.025
4770.356,349.025
4769.356,349.025
4768.356,348.925
4767.356,348.925
4766.356,348.925
4765.355,348.925
4764.355,348.925
4763.355,348.925
4762.355,348.925
4761.355,348.925
4760.354,348.925
4759.354,348.925
4758.354,348.925
4757.354,348.925
4756.354,348.974
4755.353,348.974
4754.353,348.974
4753.353,348.974
4752.353,348.925
4751.353,348.925
4750.352,348.925
4749.352,348.925
4748.352,348.925
4747.352,348.925
4746.352,348.925
4745.351,348.925
4744.351,348.925
4743.351,348.925
4742.351,348.925
4741.351,348.925
4740.35,348.925
4739.35,348.925
4738.35,348.925
4737.35,348.925
4736.35,348.925
4735.349,348.925
4734.349,348.925
4733.349,348.925
4732.349,348.925
4731.349,348.925
4730.348,348.925
4729.348,348.925
4728.348,348.925
4727.348,348.925
4726.348,348.875
4725.347,348.925
4724.347,348.925
4723.347,348.925
4722.347,348.925
4721.347,348.925
4720.346,348.925
4719.346,348.925
4718.346,348.925
4717.346,348.825
4712.345,348.875
4711.345,348.825
4710.344,348.875
4709.344,348.875
4708.344,348.875
4707.344,348.875
4706.344,348.875
4705.343,348.875
4704.343,348.874
4703.343,348.874
4702.343,348.874
4701.343,348.874
4700.342,348.874
4699.342,348.874
4698.342,348.874
4697.342,348.825
4696.342,348.825
4695.341,348.825
4694.341,348.825
4693.341,348.825
4692.341,348.825
4691.341,348.825
4690.34,348.825
4689.34,348.825
4688.34,348.825
4687.34,348.825
4686.34,348.825
4685.339,348.826
4684.339,348.826
4683.339,348.826
4682.339,348.826
4681.339,348.826
4680.338,348.826
4679.338,348.826
4678.338,348.826
4677.338,348.826
4676.338,348.826
4675.337,348.826
4674.337,348.826
4673.337,348.826
4672.337,348.826
4671.337,348.826
4670.336,348.826
4669.336,348.826
4668.336,348.826
4667.336,348.826
4666.336,348.826
4665.335,348.826
4664.335,348.826
4663.335,348.826
4662.335,348.826
4661.335,348.826
4660.334,348.826
4659.334,348.826
4658.334,348.826
4657.334,348.826
4656.334,348.826
4655.333,348.826
4654.333,348.775
4653.333,348.775
4652.333,348.775
4651.333,348.775
4650.332,348.775
4649.332,348.775
4648.332,348.775
4647.332,348.775
4646.332,348.775
4645.331,348.826
4644.331,348.826
4643.331,348.826
4642.331,348.826
4641.331,348.726
4640.33,348.726
4639.33,348.726
4638.33,348.726
4637.33,348.726
4636.33,348.826
4635.329,348.726
4634.329,348.726
4633.329,348.726
4632.329,348.726
4631.329,348.726
4630.328,348.726
4629.328,348.726
4628.328,348.726
4627.328,348.726
4626.328,348.726
4625.327,348.726
4624.327,348.776
4623.327,348.726
4622.327,348.726
4621.327,348.726
4620.326,348.726
4619.326,348.726
4618.326,348.826
4617.326,348.726
4616.326,348.726
4615.325,348.726
4614.325,348.726
4613.325,348.726
4612.325,348.726
4611.325,348.726
4610.324,348.726
4609.324,348.826
4608.324,348.726
4607.324,348.726
4606.324,348.726
4605.323,348.726
4604.323,348.675
4603.323,348.675
4602.323,348.675
4601.323,348.675
4600.322,348.675
4599.322,348.675
4598.322,348.726
4597.322,348.726
4596.322,348.726
4595.321,348.726
4594.321,348.726
4593.321,348.726
4592.321,348.726
4591.321,348.726
4590.32,348.726
4589.32,348.726
4588.32,348.626
4587.32,348.676
4586.32,348.726
4585.319,348.726
4584.319,348.626
4583.319,348.626
4582.319,348.626
4581.319,348.626
4580.318,348.626
4579.318,348.626
4578.318,348.626
4577.318,348.626
4576.318,348.626
4575.317,348.626
4574.317,348.626
4573.317,348.626
4572.317,348.626
4571.317,348.626
4570.316,348.626
4569.316,348.526
4568.316,348.526
4567.316,348.526
4566.316,348.526
4565.315,348.526
4564.315,348.526
4563.315,348.526
4562.315,348.476
4561.315,348.476
4560.314,348.426
4559.314,348.426
4558.314,348.476
4557.314,348.476
4556.314,348.426
4555.313,348.426
4554.313,348.426
4553.313,348.426
4552.313,348.426
4551.313,348.475
4550.312,348.475
4549.312,348.475
4548.312,348.475
4547.312,348.376
4546.312,348.426
4545.311,348.426
4544.311,348.426
4543.311,348.426
4542.311,348.426
4541.311,348.426
4540.31,348.426
4539.31,348.426
4538.31,348.426
4537.31,348.426
4536.31,348.426
4535.309,348.426
4534.309,348.426
4533.309,348.426
4532.309,348.426
4531.309,348.376
4530.308,348.426
4529.308,348.326
4528.308,348.326
4527.308,348.376
4526.308,348.326
4525.307,348.326
4524.307,348.326
4523.307,348.326
4522.307,348.376
4521.307,348.326
4520.306,348.326
4519.306,348.276
4518.306,348.276
4517.306,348.326
4516.306,348.326
4515.305,348.326
4514.305,348.226
4513.305,348.226
4512.305,348.226
4511.305,348.276
4510.304,348.226
4509.304,348.226
4508.304,348.226
4507.304,348.226
4506.304,348.226
4505.303,348.226
4504.303,348.226
4503.303,348.176
4502.303,348.176
4501.303,348.175
4500.302,348.175
4499.302,348.175
4498.302,348.226
4497.302,348.226
4496.302,348.226
4495.301,348.226
4494.301,348.226
4493.301,348.226
4492.301,348.226
4491.301,348.226
4490.3,348.176
4489.3,348.226
4488.3,348.126
4487.3,348.176
4486.3,348.226
4485.299,348.126
4484.299,348.176
4483.299,348.226
4482.299,348.226
4481.299,348.126
4480.298,348.126
4479.298,348.226
4478.298,348.226
4477.298,348.176
4476.298,348.226
4475.297,348.226
4474.297,348.176
4473.297,348.126
4472.297,348.126
4471.297,348.126
4470.296,348.126
4469.296,348.126
4468.296,348.126
4467.296,348.126
4466.296,348.126
4465.295,348.126
4464.295,348.126
4463.295,348.126
4462.295,348.126
4461.295,348.076
4460.294,348.076
4459.294,348.126
4458.294,348.126
4457.294,348.126
4456.294,348.126
4455.293,348.126
4454.293,348.126
4453.293,348.126
4452.293,348.126
4451.293,348.126
4450.292,348.126
4449.292,348.126
4448.292,348.075
4447.292,348.075
4446.292,348.075
4445.291,348.126
4444.291,348.076
4443.291,348.076
4442.291,348.076
4441.291,348.026
4440.29,348.126
4439.29,348.126
4438.29,348.076
4437.29,348.076
4436.29,348.026
4435.289,348.076
4434.289,348.076
4433.289,348.026
4432.289,348.126
4431.289,348.126
4430.288,348.126
4429.288,348.126
4428.288,348.126
4427.288,348.126
4426.288,348.126
